filling_date,year,period,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,positive_score,neutral_score,negative_score
2015-10-23,2015,Q3,30.430500,30.430500,31.295000,32.968498,25358000000,16755000000,406000000,79000000,28849000000,27381000000,26657000000,27381000000,12430000000,2610000000,-1195000000,12,59,28
2016-01-29,2015,Q4,28.740499,28.740499,25.106501,25.354000,35747000000,24341000000,1109000000,482000000,36474000000,28970000000,33899000000,28970000000,13384000000,8812000000,-1309000000,8,72,19
2016-04-29,2016,Q1,34.192501,34.192501,33.697498,35.495998,29128000000,18866000000,1071000000,513000000,30513000000,30615000000,28187000000,30615000000,14756000000,-2160000000,-1179000000,11,59,28
2016-07-29,2016,Q2,38.387001,38.387001,38.299000,38.627998,30404000000,19180000000,1285000000,857000000,32220000000,32856000000,29587000000,32856000000,16538000000,3465000000,-1711000000,11,61,26
2016-10-28,2016,Q3,39.491001,39.491001,37.752499,36.950500,32714000000,21260000000,575000000,252000000,35609000000,35288000000,33498000000,35288000000,17782000000,4486000000,-1841000000,11,62,25
2017-02-10,2016,Q4,41.826500,41.826500,42.253502,42.262001,43741000000,28959000000,1255000000,749000000,45781000000,37621000000,43816000000,37621000000,19285000000,10651000000,-2005000000,7,72,19
2017-04-28,2017,Q1,47.411499,47.411499,46.707500,48.067501,35714000000,22440000000,1005000000,724000000,39460000000,41509000000,37399000000,41509000000,21674000000,-1590000000,-1861000000,12,60,27
2017-07-28,2017,Q2,49.389000,49.389000,49.379002,48.399502,37955000000,23451000000,628000000,197000000,41007000000,46774000000,40520000000,46774000000,23214000000,3829000000,-2501000000,12,61,26
2017-10-27,2017,Q3,55.542500,55.542500,55.580002,56.267502,43744000000,27549000000,347000000,256000000,48578000000,66689000000,47072000000,66689000000,24658000000,3851000000,-2659000000,12,62,24
2018-02-02,2017,Q4,69.500000,69.500000,66.980003,72.434502,60453000000,38495000000,2127000000,1857000000,60197000000,71113000000,57883000000,71113000000,27709000000,12344000000,-3619000000,8,74,16
2018-04-27,2018,Q1,78.306503,78.306503,79.047501,80.145500,51042000000,30735000000,1927000000,1629000000,50829000000,75533000000,48045000000,75533000000,31463000000,-1791000000,-3098000000,12,63,24
2018-07-27,2018,Q2,88.960999,88.960999,91.164497,94.315002,52886000000,30632000000,2983000000,2534000000,54481000000,79619000000,50801000000,79619000000,34995000000,7449000000,-3243000000,12,63,23
2018-10-26,2018,Q3,76.944000,76.944000,83.276497,85.621498,56576000000,33003000000,3724000000,2883000000,59885000000,83810000000,55324000000,83810000000,39125000000,8588000000,-3352000000,12,64,22
2019-02-01,2018,Q4,81.665497,81.665497,79.411003,80.397499,72383000000,44786000000,3786000000,3027000000,75101000000,87547000000,68391000000,87547000000,43549000000,16478000000,-3733000000,8,73,18
2019-04-26,2019,Q1,96.921501,96.921501,98.123001,94.499001,59700000000,33920000000,4420000000,3561000000,69431000000,108671000000,63695000000,108671000000,48410000000,1846000000,-3290000000,10,64,25
2019-07-26,2019,Q2,95.622498,95.622498,91.162003,90.378998,63404000000,36337000000,3084000000,2625000000,76790000000,114561000000,69678000000,114561000000,53061000000,9118000000,-3562000000,10,64,25
2019-10-25,2019,Q3,88.853996,88.853996,89.571999,89.293999,69981000000,41302000000,3020000000,2134000000,79054000000,120045000000,72136000000,120045000000,56508000000,7892000000,-4697000000,10,64,24
2020-01-31,2019,Q4,100.209999,100.209999,103.963997,106.743500,87436000000,53977000000,3879000000,3268000000,96334000000,128914000000,87812000000,128914000000,62060000000,19659000000,-5312000000,7,75,16
2020-05-01,2020,Q1,115.799500,115.799500,118.980499,120.488998,75452000000,44257000000,3989000000,2535000000,85985000000,135253000000,79711000000,135253000000,65272000000,3064000000,-6795000000,11,60,27
2020-07-31,2020,Q2,155.594498,155.594498,158.373001,157.401001,88912000000,52660000000,5843000000,5243000000,110908000000,147406000000,93896000000,147406000000,73728000000,20606000000,-7459000000,12,60,26
2020-10-30,2020,Q3,150.223999,150.223999,165.568497,156.440506,96145000000,57106000000,6194000000,6331000000,112969000000,169210000000,101912000000,169210000000,82775000000,11964000000,-11063000000,12,61,25
2021-02-03,2020,Q4,166.550003,167.607498,164.328995,165.432007,125555000000,79284000000,6873000000,7222000000,132733000000,188462000000,126385000000,188462000000,93404000000,30430000000,-14824000000,8,77,14
2021-04-30,2021,Q1,169.324493,169.324493,164.580505,161.145004,108518000000,62403000000,8865000000,8107000000,121408000000,201669000000,115404000000,201669000000,103320000000,4213000000,-12082000000,11,62,25
2021-07-30,2021,Q2,166.574005,166.574005,167.246994,164.698502,113080000000,64176000000,7702000000,7778000000,140848000000,219471000000,117792000000,219471000000,114803000000,12715000000,-14288000000,12,61,26
2021-10-29,2021,Q3,165.905502,165.905502,175.949493,176.257507,110812000000,62930000000,4852000000,3156000000,138531000000,243875000000,123994000000,243875000000,120564000000,7313000000,-15748000000,11,61,26
2022-02-04,2021,Q4,157.935501,157.935501,153.293503,152.601501,137412000000,82835000000,3460000000,14323000000,161580000000,258969000000,142266000000,258969000000,138245000000,22086000000,-18935000000,7,76,15
2022-04-29,2022,Q1,124.500000,124.500000,114.772499,113.055000,116444000000,66499000000,3859000000,-3844000000,133876000000,276891000000,139508000000,276891000000,134001000000,-2790000000,-14951000000,9,61,28
2022-07-29,2022,Q2,135.389999,135.389999,140.800003,143.550003,121234000000,66424000000,3317000000,-2028000000,133667000000,286061000000,140291000000,286061000000,131402000000,8965000000,-15724000000,10,62,27
2022-10-28,2022,Q3,102.440002,102.440002,90.980003,100.790001,127101000000,70268000000,2525000000,2872000000,131463000000,296899000000,140363000000,296899000000,137489000000,11404000000,-16378000000,10,61,27
2023-02-03,2022,Q4,102.180000,102.180000,97.610001,97.199997,149204000000,85640000000,2737000000,278000000,146791000000,315884000000,155393000000,315884000000,146043000000,29173000000,-16592000000,8,75,16
2023-04-28,2023,Q1,102.050003,102.050003,105.660004,110.260002,127358000000,67791000000,4954000000,3172000000,136221000000,328157000000,147570000000,328157000000,154526000000,4788000000,-14207000000,10,61,27
2023-08-04,2023,Q2,142.220001,142.220001,138.410004,133.220001,134383000000,69373000000,7681000000,6750000000,140482000000,337125000000,148238000000,337125000000,168602000000,16476000000,-11455000000,10,61,27
2023-10-27,2023,Q3,132.710007,132.710007,138.600006,143.559998,143083000000,75022000000,11188000000,9879000000,142995000000,343888000000,145214000000,343888000000,182973000000,21217000000,-12479000000,11,61,27
